uid,病例数,新闻日期,省份,地级行政单位,Gaode_Lng,Gaode_Lat,province,city,citycode,adcode,level
898,1,2020/1/24,山西,太原,112.548879,37.87059,山西省,太原市,太原市,140100,市
899,1,2020/1/24,山西,大同,113.300129,40.076762,山西省,大同市,大同市,140200,市
900,1,2020/1/24,山西,长治,113.116255,36.195386,山西省,长治市,长治市,140400,市
901,2,2020/1/24,山西,运城,111.007528,35.026412,山西省,运城市,运城市,140800,市
902,2,2020/1/26,山西,晋中,112.752694,37.687024,山西省,晋中市,晋中市,140700,市
903,1,2020/1/26,山西,阳泉,113.580519,37.856971,山西省,阳泉市,阳泉市,140300,市
904,2,2020/1/27,山西,朔州,112.432825,39.331595,山西省,朔州市,朔州市,140600,市
905,1,2020/1/27,山西,临汾,111.518976,36.088005,山西省,临汾市,临汾市,141000,市
906,1,2020/1/27,山西,吕梁,111.144319,37.518314,山西省,吕梁市,吕梁市,141100,市
907,1,2020/1/21,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
908,1,2020/1/22,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
909,1,2020/1/22,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
910,1,2020/1/22,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
911,1,2020/1/23,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
912,1,2020/1/23,湖南,永州,111.613445,26.420394,湖南省,永州市,永州市,431100,市
913,1,2020/1/23,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
914,1,2020/1/23,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
915,1,2020/1/23,湖南,郴州,113.014717,25.770509,湖南省,郴州市,郴州市,431000,市
916,1,2020/1/24,湖南,株洲,113.134002,27.82755,湖南省,株洲市,株洲市,430200,市
917,1,2020/1/24,湖南,湘潭,112.944049,27.829738,湖南省,湘潭市,湘潭市,430300,市
918,3,2020/1/24,湖南,岳阳,113.128958,29.357104,湖南省,岳阳市,岳阳市,430600,市
919,3,2020/1/24,湖南,娄底,111.993497,27.700062,湖南省,娄底市,娄底市,431300,市
920,4,2020/1/24,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
921,3,2020/1/24,湖南,永州,111.613445,26.420394,湖南省,永州市,永州市,431100,市
922,3,2020/1/25,湖南,衡阳,112.571997,26.89323,湖南省,衡阳市,衡阳市,430400,市
923,1,2020/1/25,湖南,湘潭,112.944049,27.829738,湖南省,湘潭市,湘潭市,430300,市
924,2,2020/1/25,湖南,邵阳,111.467791,27.238892,湖南省,邵阳市,邵阳市,430500,市
925,2,2020/1/25,湖南,岳阳,113.128958,29.357104,湖南省,岳阳市,岳阳市,430600,市
926,3,2020/1/25,湖南,常德,111.698497,29.031673,湖南省,常德市,常德市,430700,市
927,4,2020/1/25,湖南,益阳,112.35518,28.55386,湖南省,益阳市,益阳市,430900,市
928,2,2020/1/25,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
929,2,2020/1/25,湖南,娄底,111.993497,27.700062,湖南省,娄底市,娄底市,431300,市
930,10,2020/1/26,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
931,2,2020/1/26,湖南,株洲,113.134002,27.82755,湖南省,株洲市,株洲市,430200,市
932,1,2020/1/26,湖南,湘潭,112.944049,27.829738,湖南省,湘潭市,湘潭市,430300,市
933,1,2020/1/26,湖南,岳阳,113.128958,29.357104,湖南省,岳阳市,岳阳市,430600,市
934,4,2020/1/26,湖南,常德,111.698497,29.031673,湖南省,常德市,常德市,430700,市
935,2,2020/1/26,湖南,郴州,113.014717,25.770509,湖南省,郴州市,郴州市,431000,市
936,3,2020/1/26,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
937,3,2020/1/26,湖南,湘西自治州,109.738783,28.311994,湖南省,[],[],433100,自治区
938,4,2020/1/27,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
939,1,2020/1/27,湖南,衡阳,112.571997,26.89323,湖南省,衡阳市,衡阳市,430400,市
940,2,2020/1/27,湖南,株洲,113.134002,27.82755,湖南省,株洲市,株洲市,430200,市
941,1,2020/1/27,湖南,湘潭,112.944049,27.829738,湖南省,湘潭市,湘潭市,430300,市
942,6,2020/1/27,湖南,邵阳,111.467791,27.238892,湖南省,邵阳市,邵阳市,430500,市
943,1,2020/1/27,湖南,岳阳,113.128958,29.357104,湖南省,岳阳市,岳阳市,430600,市
944,5,2020/1/27,湖南,常德,111.698497,29.031673,湖南省,常德市,常德市,430700,市
945,3,2020/1/27,湖南,益阳,112.35518,28.55386,湖南省,益阳市,益阳市,430900,市
946,3,2020/1/27,湖南,郴州,113.014717,25.770509,湖南省,郴州市,郴州市,431000,市
947,3,2020/1/27,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
948,2,2020/1/27,湖南,娄底,111.993497,27.700062,湖南省,娄底市,娄底市,431300,市
949,2,2020/1/28,湖南,长沙,112.938814,28.228209,湖南省,长沙市,长沙市,430100,市
950,3,2020/1/28,湖南,衡阳,112.571997,26.89323,湖南省,衡阳市,衡阳市,430400,市
951,2,2020/1/28,湖南,株洲,113.134002,27.82755,湖南省,株洲市,株洲市,430200,市
952,2,2020/1/28,湖南,湘潭,112.944049,27.829738,湖南省,湘潭市,湘潭市,430300,市
953,3,2020/1/28,湖南,邵阳,111.467791,27.238892,湖南省,邵阳市,邵阳市,430500,市
954,10,2020/1/28,湖南,岳阳,113.128958,29.357104,湖南省,岳阳市,岳阳市,430600,市
955,7,2020/1/28,湖南,常德,111.698497,29.031673,湖南省,常德市,常德市,430700,市
956,3,2020/1/28,湖南,益阳,112.35518,28.55386,湖南省,益阳市,益阳市,430900,市
957,1,2020/1/28,湖南,郴州,113.014717,25.770509,湖南省,郴州市,郴州市,431000,市
958,3,2020/1/28,湖南,永州,111.613445,26.420394,湖南省,永州市,永州市,431100,市
959,5,2020/1/28,湖南,怀化,109.998488,27.554978,湖南省,怀化市,怀化市,431200,市
960,2,2020/1/28,湖南,娄底,111.993497,27.700062,湖南省,娄底市,娄底市,431300,市
961,1,2020/1/22,辽宁,大连,121.614682,38.914003,辽宁省,大连市,大连市,210200,市
962,1,2020/1/22,辽宁,抚顺,123.957208,41.880872,辽宁省,抚顺市,抚顺市,210400,市
963,1,2020/1/23,辽宁,沈阳,123.431474,41.805698,辽宁省,沈阳市,沈阳市,210100,市
964,1,2020/1/24,辽宁,朝阳,120.471504,41.585133,辽宁省,朝阳市,朝阳市,211302,乡镇
965,1,2020/1/25,辽宁,沈阳,123.431474,41.805698,辽宁省,沈阳市,沈阳市,210100,市
966,1,2020/1/25,辽宁,大连,121.614682,38.914003,辽宁省,大连市,大连市,210200,市
967,1,2020/1/25,辽宁,本溪,123.766485,41.294175,辽宁省,本溪市,本溪市,210500,市
968,2,2020/1/25,辽宁,铁岭,123.726166,42.223769,辽宁省,铁岭市,铁岭市,211200,市
